Project ID,Voluntary Registry,Type,Country,R_ratio,Vintage_Age,M_flag,T_flag,RiskScore
GS4392,GOLD,Cookstoves,Bangladesh,0.2824445639261552,11.0,0,0,0.12528629648311654
GS6344,GOLD,Cookstoves,Uganda,0.1693502925379409,9.0,0,0,0.12507311220716943
GS1267,GOLD,Cookstoves,Rwanda,1.52091665354101,12.0,0,0,0.12505846080894797
GS6419,GOLD,Cookstoves,Burkina Faso,2.399058502592763,7.0,0,0,0.1248587143172483
VCS1888,VCS,Landfill Methane,United States,0.2776911722703458,10.0,0,0,0.12469328534904148
GS5660,GOLD,Cookstoves,Myanmar,0.2754644458680333,10.0,0,0,0.12469328534904148
GS4296,GOLD,Cookstoves,Peru,0.2840576675875674,10.0,0,0,0.12469328534904148
VCS1377,VCS,Improved Forest Management,United States,0.5961080983247666,12.0,0,0,0.12460136096802206
GS3422,GOLD,Cookstoves,Ethiopia,1.6501052305822386,12.0,0,0,0.12446078262926881
GS2457,GOLD,Cookstoves,Kenya,0.4778481267314588,12.0,0,0,0.12437421437055907
GS4377,GOLD,Cookstoves,Bangladesh,0.4790149420937387,12.0,0,0,0.12437421437055907
CAR1366,CAR,Improved Forest Management,Mexico,0.0306201289466486,8.0,0,0,0.12386887612252094
CAR1351,CAR,Improved Forest Management,Mexico,0.0325259461010043,8.0,0,0,0.12386887612252094
GS7343,GOLD,Cookstoves,Myanmar,2.176388066721268,8.0,0,0,0.12365769843520578
GS745,GOLD,Landfill Methane,Türkiye,0.5678222790758056,12.0,0,0,0.12363291134679227
GS2896,GOLD,Cookstoves,Sudan,0.3136164864725474,11.0,0,0,0.1228944808919631
VCS4059,VCS,Cookstoves,Kenya,1.4826017882065246,3.0,0,0,0.12288818040704946
GS12358,GOLD,Cookstoves,Malawi,1.4876776534623526,3.0,0,0,0.12288818040704946
VCS1860,VCS,Cookstoves,China,1.707451881430597,10.0,0,0,0.12284227994212688
VCS2389,VCS,Cookstoves,Ghana,0.046583814846599,8.0,0,0,0.12198054232118823
